fill_blank_input,masked_word,options
"Pedrarias, up to the time of his departure from Spain, had enjoyed two nick-names, El Galan and El Justador. He had been a bold and dashing cavalier in his youth, a famous tilter in tournaments in his middle age, and a hard-fighting soldier all his life. His patron was Bishop Fonseca. -> He had been a bold and dashing cavalier in his youth, a famous tilter in tournaments in his [MASK] age, and a hard-fighting soldier all his life.",middle,"['declared', 'soft', 'middle', 'south']"
"Grouped around a long table in the center of the room several secretaries were busy with orders, reports and dispatches. At one end stood a group of officers of high rank in rich uniforms whose brilliance was shrouded by heavy cloaks falling from their shoulders and gathered about them, for the air was raw and chill, despite a great fire burning in a huge open fireplace. Their cloaks and hats were wet, their boots and trousers splashed with mud, and in general they were travel-stained and weary. -> At one end stood a group of officers of high rank in rich uniforms whose brilliance was [MASK] by heavy cloaks falling from their shoulders and gathered about them, for the air was raw and chill, despite a great fire burning in a huge open fireplace.",shrouded,"['fire', 'shrouded', 'drift', 'fate']"
"Then, after listening and hearing nothing, he ventured to turn the button of a side light in a far corner of the room.
 He was in a large apartment, beautifully furnished. Books and pictures abounded, but these did not interest him, although if he had made further examination, he might have found things worthy of his attention even there. -> He was in a large apartment, beautifully [MASK].",furnished,"['furnished', 'jump', 'occasion', 'kid']"
"Elizabeth Ann stretched and yawned and looked about her. What funny wall-paper it was—so old-fashioned looking! The picture was of a blue river and a brown mill, with green willow-trees over it, and a man with sacks on his horse's back stood in front of the mill. -> What [MASK] wall-paper it was—so old-fashioned looking!",funny,"['apt', 'explosive', 'funny', 'exposed']"
"Half an hour before he had been building with bricks in the nursery; and now—the streets were all fluttering with flags; every window was crowded with people waving handkerchiefs and scattering flowers; there were scarlet soldiers everywhere along the pavements, and all the bells of all the churches were ringing like mad, and like a great song to the music of their ringing he heard thousands of people shouting, ""Long live Lionel! Long live our little King!""
 He was a little sorry at first that he had not put on his best clothes, but he soon forgot to think about that. -> Long live our [MASK] King!""
",little,"['systematic', 'ready', 'becoming', 'little']"
"We feel quite sure Mrs Simpkins liked soldiers, and so we felt friendly to her. But when we tried to talk to her she would not. She told us to go along with us, do, and not bother her. -> But when we tried to [MASK] to her she would not.",talk,"['study', 'tender', 'shear', 'talk']"
"Yet each felt a little anxious that the others should not think it was afraid, and presently Cyril, who really was not a coward, began to see that it would not be at all nice if he should have to think himself one. So he said—
‘I say—about that charm—Jane—come out. We ought to talk about it, anyhow.' -> So he said—
‘I say—about that charm—Jane—[MASK] out.",come,"['yellow', 'come', 'tell', 'reform']"
"Father had been away in the country for three or four days. All Peter's hopes for the curing of his afflicted Engine were now fixed on his Father, for Father was most wonderfully clever with his fingers. He could mend all sorts of things. -> All Peter's [MASK] for the curing of his afflicted Engine were now fixed on his Father, for Father was most wonderfully clever with his fingers.",hopes,"['fate', 'honeymoon', 'century', 'hopes']"
"Then the man took off his hat and walked away, and Philip and his sister went home. She seemed different, somehow, and he was sent to bed a little earlier than usual, but he could not go to sleep for a long time, because he heard the front-door bell ring and afterwards a man's voice and Helen's going on and on in the little drawing-room under the room which was his bedroom. He went to sleep at last, and when he woke up in the morning it was raining, and the sky was grey and miserable. -> She seemed different, somehow, and he was sent to bed a little earlier than usual, but he could not go to sleep for a long time, because he [MASK] the front-door bell ring and afterwards a man's voice and Helen's going on and on in the little drawing-room under the room which was his bedroom.",heard,"['theme', 'heard', 'fork', 'surface']"
"Four days being too short a holiday to permit the majority of the Wellington girls going home, they remained at college and did much celebrating.
 On Thanksgiving Day the first in the series of three basket-ball games was played between the sophomores and the freshmen. The sophomores won, though the freshmen gave them a hard tussle, the score standing 22-18 in favor of the sophs when the hotly contested game ended. -> On Thanksgiving Day the first in the series of three basket-ball games was [MASK] between the sophomores and the freshmen.",played,"['harm', 'absent', 'played', 'like']"
"Until now her acquaintance with an aeroplane had been wholly theoretical; it was her first flight; yet so thoroughly did she understand every part of her air vehicle—what it was for and how to use it—that she had implicit confidence in herself and in her machine. Naturally level-headed, alert and quick to think and to act, Orissa was no more afraid of soaring in the air than of riding in an automobile. Aside from her desire to operate the aircraft so skillfully that her brother's invention would be fully appreciated she was determined to attempt the winning of the ten thousand dollar prize, which would establish the Kane fortunes on a secure basis. -> Naturally level-[MASK], alert and quick to think and to act, Orissa was no more afraid of soaring in the air than of riding in an automobile.",headed,"['bound', 'headed', 'sigh', 'grass']"
"At times she trembled with an unknown dread; again, she told herself that no harm could possibly befall her dear, good Gran'pa Jim or her faithful, loving mother. Yet why were they closeted in the library so long, and how could the meeting with that insolent stranger affect Colonel Weatherby so strongly?
 After a long time her mother came out, looking more pallid and harassed than ever but strangely composed. -> Yet why were they closeted in the library so long, and how could the meeting with that insolent stranger [MASK] Colonel Weatherby so strongly?
",affect,"['distinguish', 'concern', 'carry', 'affect']"
"This bracelet was made by the dwarfs who dwell in the heart of the Scandinavian Mountains, and was sent with other costly presents by the King of Scandinavia to the King of Erin, and he gave it to the princess, and it was the virtue of this bracelet, that whoever was wearing it could not forget the person who gave it to him, and it could never be loosened from the arm by any art or magic spell; but if the wearer, even for a single moment, liked anyone better than the person who gave it to him, that very moment the bracelet fell off from the arm and could never again be fastened on. And when the princess promised her hand in marriage to the Prince Cuglas, she closed the bracelet on his arm. -> And when the princess promised her hand in marriage to the Prince Cuglas, she closed the bracelet on his [MASK].",arm,"['transition', 'arm', 'smooth', 'cease']"
"Old Ocean is not to be so set at defiance and have his rightful territory wrung from him, without taking his revenge after his own fashion. Far up into the land he sends his arms, and crooks and bends and makes his way amid the rocks, and finally falls asleep in some quiet harbor, where the tall pines stand by the shore to sing him a lullaby.
 In just such a spot as this the town we shall call Fairport was built. -> Far up into the land he sends his arms, and crooks and bends and makes his way amid the rocks, and finally falls asleep in some [MASK] harbor, where the tall pines stand by the shore to sing him a lullaby.
",quiet,"['quiet', 'thick', 'adapted', 'concerned']"
"His mechanical ingenuity bordered on the marvelous. When he went to school, he was a general favorite with teachers and pupils. The former loved him for his sweetness of disposition, and his remarkable proficiency in all studies, while the latter based their affection chiefly upon the fact that he never refused to assist any of them at their tasks, while with the pocket-knife which he carried he constructed toys which were their delight. -> When he went to school, he was a general [MASK] with teachers and pupils.",favorite,"['clover', 'lecture', 'depth', 'favorite']"
"She was one of those magnificent steamers that ply regularly between Panama and California. She had rather more than her full cargo of freight and passengers; but, among the hundreds of the latter, we have to do with but three.
 On this moonlight night, there were gathered by themselves these three personages, consisting of Tim O'Rooney, Elwood Brandon and Howard Lawrence. -> She had rather more than her full cargo of freight and passengers; but, among the hundreds of the [MASK], we have to do with but three.
",latter,"['mental', 'latter', 'reliable', 'suspended']"
"When Nick Ribsam set out to find his missing sister Nellie, he made the search as thorough as possible.
 The first house at which he stopped was that of Mr. Marston, which, it will be remembered, was only a short distance away from his own home. There, to his disappointment, he learned that their little girl had not been at school that day, and consequently they could tell him nothing.
 -> The first house at which he stopped was that of Mr. Marston, which, it will be remembered, was only a short distance away from his own [MASK].",home,"['whisper', 'home', 'leaving', 'awareness']"
"Strange that this important fact never occurred to me until I was fully a fourth of a mile from the village. Then, after looking in vain for the beacon light, the danger of my situation struck me, and I halted.
 ""I am certain to go wrong,"" I said to myself.
 -> Then, after looking in vain for the beacon light, the danger of my situation struck me, and I [MASK].
",halted,"['halted', 'search', 'champion', 'rule']"
"We three reached the old poplar the next evening between ten and eleven o'clock. Arthur had escaped inquiry by slipping out of his bedroom window after bidding his parents good-night; and, inasmuch as the lantern which I carried was not lit until we arrived at the tree, we were confident of escaping attention. Still I watched sharply, and was greatly relieved to discover no persons abroad at that hour beside ourselves.
 -> Arthur had escaped inquiry by slipping out of his bedroom window after bidding his parents good-night; and, inasmuch as the lantern which I carried was not lit until we arrived at the [MASK], we were confident of escaping attention.",tree,"['keen', 'consumption', 'kingdom', 'tree']"
"But, somehow or other, Mr. Lathrop was different from the teachers that had preceded him. He never spoke angrily or shouted, and his first act on entering the schoolroom was to break up the long tough hickory ""gad"" lying on his desk and to fling it out of the window. -> But, somehow or [MASK], Mr. Lathrop was different from the teachers that had preceded him.",other,"['low', 'other', 'empty', 'hidden']"
"Before doing so, he stepped to the nearest stall and picked up a block of wood six inches in diameter and two feet in length. This he laid on the floor and seated himself upon it, tossing the jackstones to his sister to begin the game. -> This he laid on the floor and seated himself upon it, tossing the jackstones to his sister to [MASK] the game.",begin,"['begin', 'soup', 'rise', 'port']"
"They missed the prattle and sunshine which only Dot could bring into their home, and Melville's heart was delighted when his father told him to mount Saladin and bring her home.
 And when, on the seventh day of her visit, Dot found her handsome brother had come after her, and was to take her home the following morning, she leaped into his arms with a cry of happiness; for though her relatives had never suspected it, she was dreadfully home-sick and anxious to get back to her own people. -> And when, on the seventh day of her visit, Dot [MASK] her handsome brother had come after her, and was to take her home the following morning, she leaped into his arms with a cry of happiness; for though her relatives had never suspected it, she was dreadfully home-sick and anxious to get back to her own people.",found,"['found', 'cure', 'display', 'coat']"
"He fell with such violence that he was knocked senseless.
 When he recovered he was in darkness, his torch having been extinguished. The smell of the burning resin recalled him to himself, and it required but a moment for him to remember the accident which had befallen him. -> When he recovered he was in [MASK], his torch having been extinguished.",darkness,"['enforcement', 'darkness', 'divide', 'person']"
"He made the sign of birds flying up and pointed down the trail, below, us; so that I knew somebody was coming, around a turn there. We scarcely breathed. We just sat and watched, like two mountain lions waiting.
 -> We scarcely [MASK].",breathed,"['code', 'wrong', 'lodge', 'breathed']"
"The place is all ready for me for there isn't very much underbrush here."" He began at once and finished clearing the place. Then it became daylight -> He began at once and finished [MASK] the place.",clearing,"['hear', 'clearing', 'sacrifice', 'snake']"
"Come to the boat, and I'll tell you all about it,"" he added, in a less severe tone; for the thought of the child he had rescued softened him a little, and he led the way out of the washing-shed.
 The storm had abated now, and the boat no longer rocked and swayed, so that the children waded back through the mud without fear, while their father talked of the little girl he had left with Dame Peters at Fellness. -> The storm had abated now, and the boat no longer rocked and swayed, so that the children waded back through the mud without fear, while their [MASK] talked of the little girl he had left with Dame Peters at Fellness.",father,"['arts', 'neutral', 'supplying', 'father']"
"Katie Haydon is going to London, ma'am. Did she tell you on Sunday?"" The speaker was Esther Odell, who could think of nothing else but her schoolfellow's good fortune, and, meeting her teacher later in the week, hastened to impart the important news to her.
 -> Did she [MASK] you on Sunday?""",tell,"['tell', 'engineer', 'rage', 'tissue']"
"When Josie arrived at her destination she went to the one small hotel the village boasted and, engaging the only room in the house with a private bath, she made herself comfortable for the time being. She needed sleep before she could engage in the adventure she was planning. A hotel or boarding house is a good place in which to pick up information and Josie wanted to pick up a little information before she proceeded.
 -> She needed sleep before she could engage in the [MASK] she was planning.",adventure,"['comfort', 'chairman', 'adventure', 'corruption']"
"So he went on and on in the twilight that came from nowhere, till he found himself before two wide doors all barred with iron. But they flew open at his touch, and he saw a wonderful, large, and spacious hall that seemed to him to be as long and as broad as the green hill itself. The roof was supported by pillars wide and lofty beyond the pillars of a cathedral; and they were of gold and silver, fretted into foliage, and between and around them were woven wreaths of flowers. -> But they flew open at his touch, and he saw a wonderful, large, and [MASK] hall that seemed to him to be as long and as broad as the green hill itself.",spacious,"['amazed', 'both', 'spacious', 'active']"
"He sang of the moonlight and the starlight. All the wonders of the night, all the beauty of the morning, were in his song.
 ""Dear southwind,"" said the Great Spirit ""here are some beautiful things for you to bear away with, you to your summer home. -> All the wonders of the night, all the beauty of the [MASK], were in his song.
",morning,"['ratio', 'talking', 'morning', 'acres']"
"This is the story of how the swallow's tail came to be forked.
 One day the Great Spirit asked all the animals that he had made to come to his lodge. Those that could fly came first: the robin, the bluebird, the owl, the butterfly, the wasp, and the firefly. -> One day the Great Spirit asked all the animals that he had made to come to his [MASK].",lodge,"['adventure', 'combat', 'lodge', 'command']"
"They flew high, high up above the earth, but one by one they had to come back to their homes. It was soon seen which could fly highest, for when all the others had come back, there was the eagle rising higher and higher.
 ""The eagle is our king,"" cried the birds on the earth, and the eagle gave a loud cry of happiness. -> It [MASK] soon seen which could fly highest, for when all the others had come back, there [MASK] the eagle rising higher and higher.
",was,"['short', 'joke', 'sacrifice', 'was']"
"She loved everything beautiful, and that is why she loved Tithonus.
 ""Many a year have I roamed through this country,"" she said to herself, ""but never have I seen such bright blue eyes as those. O fairest of youths,"" she cried, ""who are you? -> ""Many a year have I roamed through this country,"" she said to herself, ""but never have I seen [MASK] bright blue eyes as those.",such,"['muscular', 'bacterial', 'killing', 'such']"
I am no king if I fear the king of the south. The northwind shall bear my icy breath. Bird and beast shall quiver and tremble with cold. -> The northwind shall [MASK] my icy breath.,bear,"['bear', 'plane', 'foil', 'lumber']"
"The forest looked warm, and it made its way to the trees as well as it could, to ask for help.
 First it came to a birch-tree. ""Beautiful birch-tree,"" it said, ""my wing is broken, and my friends have flown away. -> First it [MASK] to a birch-tree.",came,"['cross', 'oppose', 'lack', 'came']"
"The aspen never came back. Its bright green leaves had grown white through fear, and from that day to this they have trembled as they did when the bees were stinging them and driving the tree from the forest. -> Its bright green [MASK] had grown white through fear, and from that day to this they have trembled as they did when the bees were stinging them and driving the tree from the forest.",leaves,"['legend', 'ninety', 'prayer', 'leaves']"
"Only a little while after the earth was made, the trees and plants came to live on it. They were happy and contented. -> Only a little [MASK] after the earth was made, the trees and plants came to live on it.",while,"['boating', 'acute', 'dose', 'while']"
"""It is our own star,"" said they, ""and it has come down to us."" They never thought of looking up into the sky over their heads. It was enough for them that the star was in the water and so near them. -> They never thought of looking up into the sky over their [MASK].",heads,"['compass', 'flies', 'purchase', 'heads']"
"It used to say that when it thought a great deal it could remember things which it seemed to have heard a long time ago.
 ""What is the use of our staying here so long doing nothing, and never being seen by anybody?"" the proud little grain once asked. -> ""What is the use of our staying here so long [MASK] nothing, and never being seen by anybody?""",doing,"['root', 'paint', 'doing', 'core']"
"""How white it looks against the black!"" said Jem; ""it is like a white brick among the black ones. What a queer place a chimney is! I can see a bit of the blue sky, I think."" -> What a [MASK] place a chimney is!",queer,"['good', 'screaming', 'religious', 'queer']"
"He forgot nothing. He lived looking out on all things from great, clear, joyous eyes. Upon his mountain crag he never heard a paltry or unbeautiful word or knew of the existence of unfriendliness or baseness in thought. -> He lived looking out on all [MASK] from great, clear, joyous eyes.",things,"['things', 'impact', 'ear', 'commission']"
"The schoolroom was being decked with garlands of holly; the desks had been moved away, and red covers had been put on the forms which were arrayed round the room against the wall.
 When Sara went into her sitting room in the morning, she found on the table a small, dumpy package, tied up in a piece of brown paper. She knew it was a present, and she thought she could guess whom it came from. -> When Sara [MASK] into her sitting room in the morning, she found on the table a small, dumpy package, tied up in a piece of brown paper.",went,"['gum', 'went', 'shape', 'tender']"
"""Aye,"" said Martha with a cheerful grin. ""Th' storm's over for a bit. It does like this at this time o' th' year. -> ""Th' [MASK]'s over for a bit.",storm,"['consequence', 'assumption', 'storm', 'finish']"
"""That's what he's doin' it for. He can't abide not to be noticed."" -> He can't abide not to be [MASK].""",noticed,"['rage', 'powder', 'ground', 'noticed']"
"When they came back from the graveyard, The Rat was silent all the way. He was thinking of what had happened and of what lay before him. He was, in fact, thinking chiefly that nothing lay before him—nothing. -> He was [MASK] of what had happened and of what lay before him.",thinking,"['ground', 'fill', 'wish', 'thinking']"
"The following morning, an early breakfast over, Hamilton started on the journey to his enumeration district, stopping at the office for a moment's chat with his friend the supervisor, and receiving his good luck wishes before he went. The mare was a delight, being well-paced, and the horseman from whom Hamilton had bought the animal had taken a great deal of pains to get him a saddle tree that fitted him, so that the boy enjoyed every minute of the ride. He reached the first point in his district about one o'clock, and after a hasty dinner started to work. -> The mare was a delight, being well-paced, and the [MASK] from whom Hamilton had bought the animal had taken a great deal of pains to get him a saddle tree that fitted him, so that the boy enjoyed every minute of the ride.",horseman,"['discount', 'generator', 'explanation', 'horseman']"
"He slipped into his clothes as quickly as possible and tiptoed his way down the rickety stairs. But before he had gone many steps an unaccustomed thought of prudence struck him, and he walked back to a house three or four doors from where he had been staying, the home, indeed, of the villager who had given him the pet fox, and in which Hank had taken up quarters. He knocked on the window and immediately Hank appeared. -> But before he had gone many steps an unaccustomed thought of prudence struck him, and he walked back to a house three or four [MASK] from where he had been staying, the home, indeed, of the villager who had given him the pet fox, and in which Hank had taken up quarters.",doors,"['doors', 'substrate', 'kind', 'attraction']"
"One night, returning from a hard day, on which he had not only ridden his fire patrol, but had also spent a couple of hours rolling big rocks into a creek to keep it from washing out a trail should a freshet come, he found a large party of people at his camp. There was an ex-professor of social science of the old régime, his wife and little daughter, a guide, and a lavish outfit. -> One night, returning from a hard day, on which he had not only ridden his fire patrol, but had also spent a couple of hours rolling [MASK] rocks into a creek to keep it from washing out a trail should a freshet come, he found a large party of people at his camp.",big,"['big', 'convenient', 'fascinating', 'ago']"
"""
Billie handed over the glass without a word and stood expectant, while Donald scrutinized closely a body of horsemen—twenty or more in number—which had halted beside the railroad that connects the little city of Pachuca with the City of Mexico.
 ""They are not soldiers, that's certain,"" was Donald's comment after he had inspected the riders carefully for a couple of minutes.
 ""That's what I thought,"" from Billie. -> ""They are not [MASK], that's certain,"" was Donald's comment after he had inspected the riders carefully for a couple of minutes.
",soldiers,"['soldiers', 'bottom', 'plain', 'ice']"
"There were but few passengers on deck, for it was quite cold, and it now began to grow dark, and we went below. Pretty soon the dinner-bell rang, and I was glad to hear it, for I had the appetite of a horse. There was a first-rate dinner, ever so many different kinds of dishes, all up and down the table, which had ridges running lengthwise, under the table-cloth, to keep the plates from sliding off, if a storm should come up. -> Pretty soon the dinner-bell rang, and I was glad to hear it, for I had the [MASK] of a horse.",appetite,"['neighbor', 'appetite', 'curve', 'appeal']"
"""There's some one coming,"" whispered Jimmie, and they listened, but the only sound they heard was made by a bird winging its way through the dim upper light. Then, in a moment, signals flashed out again. -> Then, in a [MASK], signals flashed out again.",moment,"['word', 'moment', 'electronics', 'floating']"
"The Sea Lion was a United States submarine, yet she was not constructed along the usual naval lines. It was said of her that she looked more like a pleasure yacht built for under-surface work than anything else. It is not the purpose of the writer to enter into a minute description of the craft. -> It was said of her that she [MASK] more like a pleasure yacht built for under-surface work than anything else.",looked,"['thank', 'back', 'honey', 'looked']"
"Jack and Frank sat long by the window, waiting for Ned and Jimmie to return. The doors of the adjoining rooms were wide open, so they had a full view of the lower floor. There were windows, unglazed like that which looked out on the Gulf of Pechili, too, and the lads could see for some distance along the street which ran parallel with the one upon which the miserable old structure faced.
 -> The doors of the adjoining rooms were wide open, so they had a [MASK] view of the lower floor.",full,"['farther', 'delicate', 'approved', 'full']"
"Jimmy had the glasses again, and was busily engaged in scrutinizing the blur on the distant horizon, which all of them had agreed must be smoke hovering close to the water. Perhaps he half-believed the fanciful suggestion made by Teddy, with reference to Captain Kidd, and was wildly hoping to discover some positive sign that would stamp this fairy story with truth. All the previous adventures that had befallen himself and chums would sink into utter insignificance, could they go back home and show evidences of having made such a romantic discovery up there in the Hudson Bay country.
 -> Perhaps he half-believed the fanciful suggestion made by Teddy, with reference to Captain Kidd, and was wildly hoping to discover some positive sign that would [MASK] this fairy story with truth.",stamp,"['hole', 'bulk', 'glow', 'stamp']"
"These had been won by sheer merit.
 All four were manly young fellows of about seventeen and, though young, their faces gave evidence of alert natures thoroughly reliable and ready for any emergency. -> All four were manly young fellows of about seventeen and, though young, their faces gave evidence of alert natures thoroughly [MASK] and ready for any emergency.",reliable,"['occasional', 'daring', 'theoretical', 'reliable']"
"In a moment it had caught fire. Licking up the curl, the flame gradually leaped from one piece of wood to another until the entire handful was ablaze. The dancing light played upon the three faces and sent a glow out into the surrounding blackness. -> Licking up the curl, the flame gradually leaped from one piece of wood to another until the entire handful was [MASK].",ablaze,"['memorable', 'sorry', 'ablaze', 'fair']"
"exclaimed the girl softly, adding: ""Eh, but it's a beautiful world! A wonderful world,"" and broke into the lilting refrain of ""Wonderful world"" and sang it through in a voice of singularly, haunting sweetness. But the words were not those of the popular song. -> A wonderful world,"" and broke into the lilting refrain of ""Wonderful world"" and sang it through in a voice of singularly, haunting [MASK].",sweetness,"['seek', 'sweetness', 'tonight', 'still']"
"""
Jess' mouth hardened. He loved the quaint old town and all its traditions. So did his young friend. -> He loved the [MASK] old town and all its traditions.",quaint,"['punishment', 'quaint', 'laboratory', 'pioneer']"
"""I want you to grow up where I can see you. And, more-over, it won't hurt you a bit to know something about other countries. You'll have a new idea of America when you have seen other lands, and I believe you'll be a better American for it. -> And, more-over, it won't hurt you a [MASK] to know something about other countries.",bit,"['sir', 'football', 'bit', 'cease']"
"Not far away, in a small park, one of those for which the city of Amiens is famous, they saw an array of white tents that they had not seen the night before when they had gone to bed. Already the camp was stirring; even as they watched the soldiers were all about. And early as it was, they saw a scout ride up on a bicycle, speak to the sentry who challenged him, and wait. -> Already the camp was [MASK]; even as they watched the soldiers were all about.",stirring,"['stirring', 'pine', 'bus', 'honey']"
"There was just one great, jagged, black and gray cloud in the sky, with a steep side to it like a precipice; and the moon was against this side, and looked as if she had tumbled off the top of the cloud-hill, and broken herself in rolling down the precipice. She did not seem comfortable, for she was looking down into the deep pit waiting for her. At least that was what Diamond thought as he stood for a moment staring at her. -> She did not seem comfortable, for she was looking down into the deep [MASK] waiting for her.",pit,"['percent', 'expert', 'pit', 'oxygen']"
"When in the winter they had had their supper and sat about the fire, or when in the summer they lay on the border of the rock-margined stream that ran through their little meadow close by the door of their cottage, issuing from the far-up whiteness often folded in clouds, Curdie's mother would not seldom lead the conversation to one peculiar personage said and believed to have been much concerned in the late issue of events.
 That personage was the great-great-grandmother of the princess, of whom the princess had often talked, but whom neither Curdie nor his mother had ever seen. -> When in the winter they had had their supper and sat about the fire, or when in the summer they lay on the border of the rock-margined stream that ran through their little meadow close by the door of their cottage, issuing from the far-up whiteness often [MASK] in clouds, Curdie's mother would not seldom lead the conversation to one peculiar personage said and believed to have been much concerned in the late issue of events.
",folded,"['folded', 'fence', 'pick', 'golf']"
"That is, those who are the readiest to play innocent jokes, and who are continually looking for chances to make Rome howl, are the most apt to turn out to be first-class business men. There is a boy in the Seventh Ward who is so full of fun that sometimes it makes him ache. He is the same boy who not long since wrote a note to his father and signed the name ""Daisy"" to it, and got the old man to stand on a corner for two hours waiting for the girl. -> There [MASK] a boy in the Seventh Ward who [MASK] so full of fun that sometimes it makes him ache.",is,"['automobile', 'prize', 'is', 'battle']"
"The grocery man asked what was the matter, and the deacon hunted up the source from whence the darning needle came through the counter, and as the boy went across the street, the deacon and the grocery man were rolling on the floor, the grocery man trying to hold the deacon's fists while he explained about the darning needle, and that it was intended for the boy. How it came out the boy did not wait to see. -> How it [MASK] out the boy did not wait to see.",came,"['came', 'purpose', 'concert', 'sink']"
"His pipe and tobacco were far away on the mantel, though he could smell them, and the odor so satisfying to him when he was well, almost made him sick, and when the red-headed boy came in the room the first thing the old man said was:
""Take that dum pipe and terbacker out of the room, and put it in the woodshed. Your Uncle Ike ain't enjoyin' his terbacker very well,"" and the old fellow made up a face, and looked as though he was on a steamboat excursion in rough weather. -> Your Uncle Ike ain't enjoyin' his terbacker very well,"" and the old [MASK] made up a face, and looked as though he was on a steamboat excursion in rough weather.",fellow,"['definition', 'fellow', 'aesthetic', 'stocks']"
